         15454404 function calls (15454214 primitive calls) in 7.478 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1155(__init__)
        1    0.000    0.000    0.000    0.000 stats.py:33(Stats)
        5    0.000    0.000    0.000    0.000 dataclasses.py:940(<listcomp>)
        7    0.000    0.000    0.000    0.000 spell.py:363(set_crit_chance)
       15    0.000    0.000    0.000    0.000 typing.py:750(__eq__)
        1    0.000    0.000    0.000    0.000 decoder.py:284(__init__)
       31    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        9    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        1    0.000    0.000    0.000    0.000 damages.py:1(<module>)
        3    0.000    0.000    0.000    0.000 enum.py:197(<dictcomp>)
       20    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        5    0.000    0.000    0.000    0.000 functools.py:65(wraps)
        1    0.000    0.000    0.000    0.000 spell_set.py:10(SpellSet)
        5    0.000    0.000    0.000    0.000 dataclasses.py:949(<listcomp>)
       23    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
       40    0.000    0.000    0.000    0.000 inspect.py:2552(default)
        9    0.000    0.000    0.000    0.000 typing.py:206(_check_generic)
